title,Rebellion,Entry,transcript_filename,Publication Title,Publication location,Metadata Match Location,Date Published,date,VOLUME-ISSUE,NewsSources Named,Source,MCODE,Year,Month,Day,Folder,Filename,Article Link,Transcription Link,object_thumb,object_location,reference_url
"Morant Bay Rebellion 1","MORANT BAY REBELLION","1","1-MBR-Gale-Transcription.md","National Intelligencer","Washington, DC","Washington","November 10, 1865","1865-11-10","Volume: 65 , Issue: 16,608","","Gale","5DXC","1865","November","10","NCNP0100","/5DXC/NCNP0100/5DXC-1865-NOV10_Text.xml","https://drive.google.com/file/d/11vPjDwKGusQ2prcB_4W4PyhcrVEMrMLa/view?usp=sharing","https://docs.google.com/document/d/1JCtph2oSs6AXQYO3GdKYmZ5JwRWpTipiib8BJgR7CLI/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_1.html"
"Morant Bay Rebellion 2","MORANT BAY REBELLION","2","2-MBR-Gale-Transcription.md","Bangor Daily Whig and Courier","Bangor, ME","Bangor","November 11, 1865","1865-11-11","Volume: 32 , Issue: 114","","Gale","5DWR","1865","November","11","missing files","","https://drive.google.com/file/d/1kQ3ivVPR7iD2KKdGiSiBnD_GhtUzrnwg/view?usp=sharing","https://docs.google.com/document/d/1lLTnXvA7pB1REe4WH8RdLIGB49J7Uw75_AaoCME0vKo/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_2.html"
"Morant Bay Rebellion 3","MORANT BAY REBELLION","3","3-MBR-Gale-Transcription.md","Daily Evening Bulletin","San Francisco","San Francisco","November 13, 1865","1865-11-13","Volume: 21 , Issue: 31","","Gale","5AHR","1865","November","13","missing files","","https://drive.google.com/file/d/1iuj2SHaGNiFkkjfoUD7whtYYdlozzTF9/view?usp=sharing","https://docs.google.com/document/d/1bui4WCurKGnozdSUWOJY4Lvf4QHO7eI5lQYs2LaIavU/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_3.html"
"Morant Bay Rebellion 4","MORANT BAY REBELLION","4","4-MBR-Gale-Transcription.md","New Haven Palladium","New Haven, CT","New Haven","November 15, 1865","1865-11-15","Volume: 25 , Issue: 283","","Gale","5DXE","1865","November","15","NCNP0082","/5DXE/NCNP0082/5DXE-1865-NOV15_Text.xml","https://drive.google.com/file/d/1njZuWaDTIhgsWLpdpn0Y7Cng376jrKza/view?usp=sharing","https://docs.google.com/document/d/1xUx51e8vrIGAOcbFJOupe7rTYCZy-R_WELw4SGjha9c/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_4.html"
"Morant Bay Rebellion 5","MORANT BAY REBELLION","5","5-MBR-Gale-Transcription.md","Daily Evening Bulletin","San Francisco","San Francisco","November 17, 1865","1865-11-17","Volume: 21 , Issue: 35","","Gale","5AHR","1865","November","17","missing files","","https://drive.google.com/file/d/1ZKananJlwfbM9dmV8-hyhQcoWJ-FprqB/view?usp=sharing","https://docs.google.com/document/d/1n8NQ-tuKKrVy6lOXnqhduu4OJimUS6g2Dy2ZHVNaZSo/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_5.html"
"Morant Bay Rebellion 6","MORANT BAY REBELLION","6","6-MBR-Gale-Transcription.md","The North American","Philadelphia, PA","!ERROR IN PUB NAME","November 17, 1865","1865-11-17","Volume 98, Issue 26,654","","Gale","","1865","November","17","!ERROR! NO MATCH","","https://drive.google.com/file/d/1Py43w8b22khHn9YN5oAgkQ0EPchUEdmx/view?usp=sharing","https://docs.google.com/document/d/1mxMihIzWaszNxnbDIpAdjneXqekpoqn2NnQ3rljR-l0/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_6.html"
"Morant Bay Rebellion 7","MORANT BAY REBELLION","7","7-MBR-Gale-Transcription.md","Daily Evening Bulletin","San Francisco","San Francisco","November 17, 1865","1865-11-17","Volume: 21 , Issue: 35","","Gale","5AHR","1865","November","17","missing files","","https://drive.google.com/file/d/19TdSwen9HevVLV3H8U8FF5PcnAgpEbP1/view?usp=sharing","https://docs.google.com/document/d/1gj92Kvf75FdDxT6dOEBNr1lrn1_zzkGjsz4HVhYxtEA/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_7.html"
"Morant Bay Rebellion 8","MORANT BAY REBELLION","8","8-MBR-Gale-Transcription.md","Cleveland Daily Herald","Cleveland, OH","Cleveland","November 18, 1865","1865-11-18","Volume 31, Issue 276","","Gale","5DMF","1865","November","18","NCNP0004","/5DMF/NCNP0004/5DMF-1865-NOV18_Text.xml","https://drive.google.com/file/d/1VWiXt9dgfqXkv3SuaGh5C0abFpvt2PFG/view?usp=sharing","https://docs.google.com/document/d/1DyfrJWPLEOCF3n-8rTZVr_yRxNnMVkX-QwF35mOrVi4/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_8.html"
"Morant Bay Rebellion 9","MORANT BAY REBELLION","9","9-MBR-Gale-Transcription.md","Natchez Daily Courier","Natchez, MS","Natchez","November 21, 1865","1865-11-21","Volume 1, Issue 20","","Gale","5KUO","1865","November","21","NCNP0169","/5KUO/NCNP0169/5KUO-1865-NOV21_Text.xml","https://drive.google.com/file/d/1IDYV4x96knpw75h8xdZAm4OxlS8N-kb0/view?usp=sharing","https://docs.google.com/document/d/1YTigjUiEg9UYvCXfyBy5b86nYcqFzfoOJfoRBdxpZN4/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_9.html"
"Morant Bay Rebellion 10","MORANT BAY REBELLION","10","10-MBR-Gale-Transcription.md","N. Y. Tribune","Boston, MA","!ERROR IN PUB NAME","November 24, 1865","1865-11-24","Volume 35, Issue 47","","Gale","","1865","November","24","!ERROR! NO MATCH","","https://drive.google.com/file/d/1lFISSyEdvXWXDfNdyIDPMHuZ5vZQ-6nv/view?usp=sharing","https://docs.google.com/document/d/1tiRLaIwwVzYs5wqRZ1RZMipNLCSt-1h18ra0oFFl8o0/edit?usp=sharing","","","https://evanwill.github.io/rad_source/items/mbr_10.html"
